max_df,max_features,min_df,ngram_range,mean_similarity,latency_ms
0.95,3000,1,"(2, 2)",0.22836750660724897,297.3
0.95,8000,5,"(2, 2)",0.22836750660724897,277.9
1.0,5000,3,"(2, 2)",0.22836750660724897,283.5
0.95,2000,5,"(2, 2)",0.22836750660724897,325.6
1.0,2000,2,"(2, 2)",0.22836750660724897,299.9
1.0,2000,5,"(2, 2)",0.22836750660724897,266.6
1.0,2000,1,"(2, 2)",0.22836750660724897,314.4
0.95,10000,5,"(2, 2)",0.22836750660724897,615.0
1.0,3000,1,"(2, 2)",0.22836750660724897,420.9
0.95,5000,3,"(2, 2)",0.22836750660724897,425.7
0.95,10000,3,"(2, 2)",0.22836750660724897,301.9
1.0,3000,2,"(2, 2)",0.22836750660724897,303.6
1.0,3000,3,"(2, 2)",0.22836750660724897,289.0
0.95,3000,2,"(2, 2)",0.22836750660724897,277.9
1.0,3000,5,"(2, 2)",0.22836750660724897,330.1
0.95,3000,5,"(2, 2)",0.22836750660724897,384.6
1.0,5000,1,"(2, 2)",0.22836750660724897,292.1
1.0,10000,5,"(2, 2)",0.22836750660724897,333.8
0.95,5000,2,"(2, 2)",0.2268843258549424,278.8
1.0,5000,2,"(2, 2)",0.2268843258549424,307.1
0.95,8000,2,"(2, 2)",0.22619176136957453,276.1
1.0,8000,2,"(2, 2)",0.22619176136957453,300.1
0.95,10000,2,"(2, 2)",0.22619176136957453,294.3
1.0,10000,2,"(2, 2)",0.22619176136957453,305.1
1.0,8000,1,"(2, 2)",0.2255654066979024,565.7
0.95,8000,1,"(2, 2)",0.2255654066979024,275.8
0.95,10000,1,"(2, 2)",0.21969312812346029,276.3
1.0,10000,1,"(2, 2)",0.21969312812346029,277.7
